ProceesName,PID
System Idle Process,0
System,4
Registry,96
WmiPrvSE.exe,204
smss.exe,484
svchost.exe,512
svchost.exe,552
fontdrvhost.exe,556
svchost.exe,616
svchost.exe,636
csrss.exe,704
wininit.exe,788
igfxEM.exe,860
services.exe,932
lsass.exe,940
svchost.exe,1032
WUDFHost.exe,1100
svchost.exe,1260
svchost.exe,1356
svchost.exe,1376
svchost.exe,1384
svchost.exe,1416
svchost.exe,1448
svchost.exe,1456
SearchIndexer.exe,1492
pythonw.exe,1544
svchost.exe,1564
UpdaterUI.exe,1612
svchost.exe,1640
svchost.exe,1696
svchost.exe,1708
svchost.exe,1760
svchost.exe,1808
svchost.exe,1872
svchost.exe,1892
fcnm.exe,1908
svchost.exe,1940
svchost.exe,1968
svchost.exe,1992
svchost.exe,2012
svchost.exe,2036
svchost.exe,2100
svchost.exe,2140
svchost.exe,2156
Toast32.exe,2192
dasHost.exe,2280
Teams.exe,2316
svchost.exe,2332
svchost.exe,2360
svchost.exe,2368
svchost.exe,2376
chrome.exe,2412
svchost.exe,2440
svchost.exe,2448
Memory Compression,2556
svchost.exe,2596
svchost.exe,2616
igfxCUIService.exe,2684
svchost.exe,2696
svchost.exe,2716
svchost.exe,2760
svchost.exe,2768
MDECryptService.exe,2856
svchost.exe,2880
svchost.exe,2900
svchost.exe,2996
svchost.exe,3056
svchost.exe,3064
svchost.exe,3084
ctfmon.exe,3172
Video.UI.exe,3232
svchost.exe,3336
svchost.exe,3432
svchost.exe,3452
vpnagent.exe,3460
svchost.exe,3476
svchost.exe,3492
svchost.exe,3504
WUDFHost.exe,3508
fcags.exe,3520
MfeEpeHost.exe,3584
svchost.exe,3616
svchost.exe,3664
EegoService.exe,3732
svchost.exe,3744
spoolsv.exe,3792
armsvc.exe,3880
svchost.exe,3892
OfficeClickToRun.exe,3904
CxMonSvc.exe,3920
CxUtilSvc.exe,3932
ibtsiva.exe,3984
svchost.exe,3992
svchost.exe,4000
fpCSEvtSvc.exe,4024
macmnsvc.exe,4036
MfeFfCoreService.exe,4072
fontdrvhost.exe,4092
mfemms.exe,4152
svchost.exe,4288
svchost.exe,4304
SecurityHealthService.exe,4384
sqlwriter.exe,4412
svchost.exe,4460
SynTPEnhService.exe,4468
svchost.exe,4500
UIUSrv.exe,4512
valWBFPolicyService.exe,4524
chrome.exe,4556
vmware-usbarbitrator64.exe,4564
svchost.exe,4576
svchost.exe,4652
chrome.exe,4684
RuntimeBroker.exe,4912
chrome.exe,5008
Teams.exe,5060
ChsIME.exe,5108
svchost.exe,5272
mfevtps.exe,5420
ApacheMonitor.exe,5668
WmiPrvSE.exe,5852
MfeFfProxy32.exe,5876
chrome.exe,5916
RuntimeBroker.exe,6004
chrome.exe,6104
mfefw.exe,6352
fcagswd.exe,6380
mfehcs.exe,6504
TabTip.exe,6568
mcshield.exe,6908
mfeesp.exe,7024
mfewc.exe,7032
svchost.exe,7068
mfeatp.exe,7164
macompatsvc.exe,7252
MfeFfProxy32.exe,7284
mfetp.exe,7356
mfemvedr.exe,7400
McpService.exe,7412
svchost.exe,7460
svchost.exe,8088
dllhost.exe,8752
Taskmgr.exe,10172
TSVNCache.exe,10676
svchost.exe,10764
svchost.exe,11160
lync.exe,12792
chrome.exe,12928
winlogon.exe,12956
PresentationFontCache.exe,13096
SmartAudio3.exe,13132
ir_agent.exe,13184
ONENOTEM.EXE,13280
svchost.exe,13332
taskhostw.exe,13368
fcagte.exe,13420
SkypeApp.exe,13564
chrome.exe,13592
svchost.exe,13672
RuntimeBroker.exe,13760
fcagte.exe,14364
mspaint.exe,14424
svchost.exe,14484
chrome.exe,14568
dllhost.exe,14908
chrome.exe,14944
svchost.exe,15264
pythonw.exe,15432
SynTPHelper.exe,15524
MicTray64.exe,15600
chrome.exe,15616
POWERPNT.EXE,15816
ir_agent.exe,15832
Teams.exe,16504
ApplicationFrameHost.exe,16596
WmiPrvSE.exe,16868
chrome.exe,17132
ir_agent.exe,17324
ShellExperienceHost.exe,17328
MfeFfCore.exe,17388
chrome.exe,17652
SearchFilterHost.exe,17696
svchost.exe,17716
conhost.exe,17992
SgrmBroker.exe,18012
mfemactl.exe,18124
chrome.exe,18176
RuntimeBroker.exe,18296
CcmExec.exe,18340
WmiPrvSE.exe,18416
chrome.exe,18540
chrome.exe,18624
chrome.exe,18704
Teams.exe,18712
conhost.exe,18976
chrome.exe,19028
sihost.exe,19212
Teams.exe,19224
svchost.exe,19272
chrome.exe,19296
chrome.exe,19312
cmd.exe,19412
SCNotification.exe,19588
chrome.exe,19608
chrome.exe,19680
RuntimeBroker.exe,19844
UcMapi.exe,19856
svchost.exe,20260
masvc.exe,20296
svchost.exe,20492
csrss.exe,20932
svchost.exe,20996
RuntimeBroker.exe,21224
svchost.exe,21336
SettingSyncHost.exe,21364
fcag.exe,21440
chrome.exe,21444
chrome.exe,22088
SearchProtocolHost.exe,22140
MSASCuiL.exe,22368
explorer.exe,22416
Teams.exe,22492
chrome.exe,22808
ChtIME.exe,23276
RtsCM64.exe,23396
mctray.exe,23412
chrome.exe,23428
SynTPEnh.exe,23432
chrome.exe,23436
EpePcMonitor.exe,23556
WmiPrvSE.exe,23580
chrome.exe,23796
chrome.exe,23880
Teams.exe,24076
fcagte.exe,24252
dllhost.exe,24356
SearchUI.exe,24916
Calculator.exe,25588
dwm.exe,25828
BCClipboard.exe,26156
RuntimeBroker.exe,26164
